custom_edit_url	learn_path
https://github.com/netdata/go.d.plugin/edit/master/modules/isc_dhcpd/README.md	/docs/data-collection/dns-and-dhcp-servers/isc-dhcpd
https://github.com/netdata/go.d.plugin/edit/master/modules/nginx/README.md	/docs/data-collection/web-servers-and-web-proxies/nginx
https://github.com/netdata/go.d.plugin/edit/master/modules/dnsmasq/README.md	/docs/data-collection/dns-and-dhcp-servers/dnsmasq-dns-forwarder
https://github.com/netdata/go.d.plugin/edit/master/modules/powerdns/README.md	/docs/data-collection/dns-and-dhcp-servers/powerdns-authoritative-server
https://github.com/netdata/go.d.plugin/edit/master/modules/pihole/README.md	/docs/data-collection/dns-and-dhcp-servers/pi-hole
https://github.com/netdata/go.d.plugin/edit/master/modules/logstash/README.md	/docs/data-collection/logs-servers/logstash
https://github.com/netdata/go.d.plugin/edit/master/modules/docker/README.md	/docs/data-collection/containers-and-vms/docker
https://github.com/netdata/go.d.plugin/edit/master/modules/postgres/README.md	/docs/data-collection/database-servers/postgressql
https://github.com/netdata/go.d.plugin/edit/master/modules/snmp/README.md	/docs/data-collection/snmp-and-networked-devices/snmp
https://github.com/netdata/go.d.plugin/edit/master/modules/k8s_kubeproxy/README.md	/docs/data-collection/kubernetes/kube-proxy
https://github.com/netdata/go.d.plugin/edit/master/modules/consul/README.md	/docs/data-collection/service-discovery-&-registry/consul
https://github.com/netdata/go.d.plugin/edit/master/modules/supervisord/README.md	/docs/data-collection/processes-and-system-services/supervisord
https://github.com/netdata/go.d.plugin/edit/master/modules/couchbase/README.md	/docs/data-collection/database-servers/couchbase
https://github.com/netdata/go.d.plugin/edit/master/modules/traefik/README.md	/docs/data-collection/web-servers-and-web-proxies/traefik
https://github.com/netdata/go.d.plugin/edit/master/modules/freeradius/README.md	/docs/data-collection/access-control,-authentication-and-authorization/freeradius
https://github.com/netdata/go.d.plugin/edit/master/modules/mongodb/README.md	/docs/data-collection/database-servers/mongodb
https://github.com/netdata/go.d.plugin/edit/master/modules/mysql/README.md	/docs/data-collection/database-servers/mysql-and-mariadb
https://github.com/netdata/go.d.plugin/edit/master/modules/scaleio/README.md	/docs/data-collection/storage,-mount-points-and-filesystems/software-storage/scaleio
https://github.com/netdata/go.d.plugin/edit/master/modules/prometheus/README.md	/docs/data-collection/apm/openmetrics-endpoints
https://github.com/netdata/go.d.plugin/edit/master/modules/squidlog/README.md	/docs/data-collection/web-servers-and-web-proxies/web-logs/squid
https://github.com/netdata/go.d.plugin/edit/master/modules/unbound/README.md	/docs/data-collection/dns-and-dhcp-servers/unbound
https://github.com/netdata/go.d.plugin/edit/master/modules/openvpn/README.md	/docs/data-collection/vpns/openvpn
https://github.com/netdata/go.d.plugin/edit/master/modules/powerdns_recursor/README.md	/docs/data-collection/dns-and-dhcp-servers/powerdns-recursor
https://github.com/netdata/go.d.plugin/edit/master/modules/httpcheck/README.md	/docs/data-collection/synthetic-checks/http-endpoints-check
https://github.com/netdata/go.d.plugin/edit/master/modules/vernemq/README.md	/docs/data-collection/message-brokers/vernemq
https://github.com/netdata/go.d.plugin/edit/master/modules/proxysql/README.md	/docs/data-collection/database-servers/proxysql
https://github.com/netdata/go.d.plugin/edit/master/docs/how-to-write-a-module.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/how-to-write-a-netdata-collector-in-go
https://github.com/netdata/go.d.plugin/edit/master/pkg/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages
https://github.com/netdata/go.d.plugin/edit/master/pkg/iprange/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/iprange
https://github.com/netdata/go.d.plugin/edit/master/pkg/tlscfg/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/tlscfg
https://github.com/netdata/go.d.plugin/edit/master/pkg/stm/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/stm
https://github.com/netdata/go.d.plugin/edit/master/pkg/web/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/web
https://github.com/netdata/go.d.plugin/edit/master/pkg/matcher/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/matcher
https://github.com/netdata/go.d.plugin/edit/master/pkg/prometheus/selector/README.md	/docs/contributing-to-netdata/external-plugins/go.d.plugin/helper-packages/time-series-selector
https://github.com/netdata/agent-service-discovery/edit/master/README.md	/docs/data-collection/service-discovery
https://github.com/netdata/netdata/edit/master/REDISTRIBUTED.md	/docs/contributing-to-netdata/redistributed-software
https://github.com/netdata/netdata/edit/master/streaming/README.md	/docs/metrics-streaming-and-replication/streaming-configuration-reference
https://github.com/netdata/netdata/edit/master/build_external/README.md	/docs/install-the-netdata-agent/build-the-netdata-agent-yourself/external-build-system
